factor,rank,comp,average,sd,ratio,ava,avb,cumsum
Sex,77,B096,0.0020967,0.004605,0.4553,0.0418,0.091,0.92733
Sex,78,B100,0.0020555,0.005063,0.406,0.0278,0.11189,0.93029
Sex,79,B033,0.0020203,0.004994,0.4045,0.03452,0.10322,0.93321
Sex,80,B109,0.0020192,0.005751,0.3511,0,0.11489,0.93612
Sex,81,B080,0.0019407,0.005667,0.3424,0.09884,0,0.93892
Sex,82,B098,0.0018972,0.004146,0.4576,0.04248,0.08633,0.94165
Sex,83,B034,0.0018295,0.00521,0.3511,0,0.10433,0.94429
Sex,84,B031,0.0015507,0.005589,0.2775,0.0916,0,0.94653
Sex,85,B066,0.0015305,0.004229,0.3619,0.08352,0,0.94874
Sex,86,B078,0.0014351,0.004082,0.3516,0,0.09633,0.95081
Sex,87,B029,0.0013375,0.003804,0.3516,0,0.08978,0.95273
Sex,88,B047,0.0012757,0.003635,0.351,0,0.06978,0.95457
Sex,89,B025,0.0012721,0.003355,0.3792,0.02736,0.04233,0.95641
Sex,90,B114,0.0012517,0.003565,0.3511,0,0.07122,0.95821
Sex,91,B084,0.0012451,0.004308,0.289,0.068,0,0.96001
Sex,92,B062,0.0012188,0.003472,0.351,0,0.06667,0.96177
Sex,93,B008,0.0011944,0.004369,0.2734,0.06148,0,0.96349
Sex,94,B079,0.0011732,0.005889,0.1992,0.05452,0,0.96518
Sex,95,B063,0.0011599,0.003305,0.351,0,0.06344,0.96685
Sex,96,B124,0.0011438,0.004013,0.285,0.05796,0,0.9685
Sex,97,B052,0.0011261,0.003207,0.3511,0,0.06422,0.97013
Sex,98,B091,0.001117,0.005561,0.2009,0.06552,0,0.97174
Sex,99,B003,0.0010995,0.005496,0.2001,0.05696,0,0.97332
Sex,100,B076,0.0010787,0.005379,0.2005,0.06,0,0.97488
Sex,101,B082,0.0010645,0.005298,0.2009,0.06284,0,0.97642
Sex,102,B040,0.0010312,0.005154,0.2001,0.05344,0,0.9779
Sex,103,B002,0.0010166,0.003525,0.2884,0.05356,0,0.97937
Sex,104,B022,0.0009231,0.00463,0.1994,0.0438,0,0.9807
Sex,105,B122,0.000898,0.004488,0.2001,0.04652,0,0.98199
Sex,106,B001,0.0008772,0.004373,0.2006,0.04928,0,0.98326
Sex,107,B061,0.0008279,0.004152,0.1994,0.03928,0,0.98445
Sex,108,B077,0.000801,0.003993,0.2006,0.045,0,0.98561
Sex,109,B110,0.0007932,0.003954,0.2006,0.04456,0,0.98675
Sex,110,B115,0.000789,0.003928,0.2009,0.04628,0,0.98789
Sex,111,B071,0.0006717,0.003362,0.1998,0.03348,0,0.98886
Sex,112,B019,0.0006472,0.003222,0.2009,0.03796,0,0.98979
Sex,113,B095,0.0006131,0.003052,0.2009,0.03596,0,0.99068
Sex,114,B045,0.000555,0.00278,0.1996,0.02704,0,0.99148
Sex,115,B023,0.0005461,0.002718,0.2009,0.03224,0,0.99227
Sex,116,B013,0.0005433,0.002719,0.1998,0.02708,0,0.99305
Sex,117,B004,0.0005398,0.002687,0.2009,0.03192,0,0.99383
Sex,118,B026,0.0005278,0.002627,0.2009,0.03116,0,0.99459
Sex,119,B074,0.0005075,0.002526,0.2009,0.02996,0,0.99532
Sex,120,B085,0.000486,0.002435,0.1996,0.02368,0,0.99602
Sex,121,B009,0.0004586,0.002283,0.2009,0.02712,0,0.99668
Sex,122,B094,0.0004295,0.002138,0.2009,0.0254,0,0.9973
Sex,123,B092,0.000416,0.00207,0.2009,0.0246,0,0.9979
Sex,124,B106,0.0004097,0.002052,0.1996,0.01996,0,0.99849
Sex,125,B011,0.0003869,0.001929,0.2005,0.02152,0,0.99905
Sex,126,B048,0.0003497,0.001741,0.2009,0.02068,0,0.99956
Sex,127,B128,0.0003085,0.001538,0.2005,0.01716,0,1
Repro. Status,1,B056,0.0289978,0.024038,1.2064,1.48595,1.26864,0.04381
Repro. Status,2,B090,0.02339,0.019147,1.2216,1.17505,1.24914,0.07916
Repro. Status,3,B088,0.0231231,0.025729,0.8987,3.3667,2.884,0.11409
Repro. Status,4,B105,0.0223774,0.024604,0.9095,0.19065,1.07943,0.14791
Repro. Status,5,B035,0.0208783,0.016843,1.2396,1.2935,1.62707,0.17945
Repro. Status,6,B017,0.0193768,0.017424,1.1121,0.75155,0.97093,0.20873
Repro. Status,7,B058,0.0193025,0.016923,1.1406,0.81925,0.83893,0.2379
Repro. Status,8,B070,0.0186361,0.017145,1.087,0.58205,0.89829,0.26605
Repro. Status,9,B112,0.0177361,0.016316,1.087,0.4487,0.89979,0.29285
Repro. Status,10,B012,0.0160209,0.013692,1.1701,1.0318,0.953,0.31706
Repro. Status,11,B054,0.0159416,0.014103,1.1303,0.7607,0.66857,0.34115
Repro. Status,12,B027,0.0143525,0.012838,1.118,0.74845,0.6255,0.36283
Repro. Status,13,B121,0.0141768,0.014429,0.9825,0.50705,0.57193,0.38425
Repro. Status,14,B041,0.0140323,0.019939,0.7038,0.2584,0.61336,0.40546
Repro. Status,15,B093,0.0127325,0.014521,0.8768,0.46085,0.45957,0.4247
Repro. Status,16,B038,0.0124511,0.011086,1.1232,0.40785,0.63336,0.44351
Repro. Status,17,B118,0.0122303,0.010802,1.1322,0.1836,0.61757,0.46199
Repro. Status,18,B016,0.0120498,0.019288,0.6247,0.5774,0.16071,0.4802
Repro. Status,19,B108,0.0119191,0.015522,0.7679,0.5266,0.18693,0.4982
Repro. Status,20,B050,0.0116707,0.013496,0.8647,0.124,0.57929,0.51584
Repro. Status,21,B032,0.0110193,0.01172,0.9402,0.28805,0.42886,0.53249
Repro. Status,22,B007,0.0109781,0.026372,0.4163,0.0782,0.47407,0.54908
Repro. Status,23,B044,0.0106783,0.015479,0.6899,0.0601,0.55107,0.56521
Repro. Status,24,B059,0.0102753,0.018343,0.5602,0.5386,0,0.58074
Repro. Status,25,B075,0.0101951,0.01149,0.8873,0.37875,0.36,0.59614
Repro. Status,26,B103,0.0096927,0.016116,0.6014,0.1964,0.3825,0.61079
Repro. Status,27,B067,0.0094398,0.015722,0.6004,0.4481,0.14721,0.62505
Repro. Status,28,B068,0.0087061,0.014596,0.5965,0.3156,0.23871,0.6382
Repro. Status,29,B055,0.0077162,0.012403,0.6221,0.25935,0.18929,0.64986
Repro. Status,30,B120,0.0076658,0.013555,0.5656,0.12285,0.30764,0.66145
Repro. Status,31,B049,0.0076454,0.008201,0.9322,0.18855,0.35443,0.673
Repro. Status,32,B125,0.0073954,0.014386,0.5141,0,0.34964,0.68417
Repro. Status,33,B102,0.007123,0.013539,0.5261,0.23095,0.197,0.69494
Repro. Status,34,B030,0.0069766,0.011843,0.5891,0.27585,0.08779,0.70548
Repro. Status,35,B024,0.0067196,0.01151,0.5838,0.1894,0.2235,0.71563
Repro. Status,36,B119,0.0066161,0.011808,0.5603,0.20395,0.17579,0.72563
Repro. Status,37,B046,0.0054262,0.008,0.6783,0.112,0.221,0.73383
Repro. Status,38,B005,0.0052309,0.010897,0.48,0,0.25721,0.74173
Repro. Status,39,B014,0.0049173,0.006897,0.7129,0.1694,0.14043,0.74916
